"nrInst","nrAgencia","cdClient","nmClient","nrCpfCnpj","nrContrato","dtContrato","qtPrestacoes","vlTotal","cdProduto","dsProduto","cdCarteira","dsCarteira","nrProposta","nrPresta","tpPresta","nrSeqPre","dtVctPre","vlPresta","vlMora","vlMulta","vlOutAcr","vlIof","vlDescon","vlAtual","idSituac","idSitVen","isValidCpfOrCNPJ","isPaymentValid","vlTotalBRL","vlPrestaBRL","vlMoraBRL","vlMultaBRL","vlAtualBRL"
"533","32","56133","CLIENTE 1","41854274761","733067","20221227","5","83720.19","777","CDC PESSOA JURIDICA","17","CRÉDITO DIRETO AO CONSUMIDOR","798586","2","Original","0","20220406","17524.03","29196.96","536.4","0","0","0","47257.39","Aberta","Vencida",false,,"R$ 83.720,19","R$ 17.524,03","R$ 29.196,96","R$ 536,40","R$ 47.257,39"
"533","32","56133","CLIENTE 1","41854274761","733067","20221227","5","83720.19","777","CDC PESSOA JURIDICA","17","CRÉDITO DIRETO AO CONSUMIDOR","798586","3","Original","0","20241113","98750.27","43130.98","77238.37","0","0","0","219119.62","Aberta","Vencida",false,,"R$ 83.720,19","R$ 98.750,27","R$ 43.130,98","R$ 77.238,37","R$ 219.119,62"
"533","32","56133","CLIENTE 1","41854274761","733067","20221227","5","83720.19","777","CDC PESSOA JURIDICA","17","CRÉDITO DIRETO AO CONSUMIDOR","798586","4","Original","0","20221004","55430.51","21312.43","76817.09","0","0","0","153560.03","Aberta","Vencida",false,,"R$ 83.720,19","R$ 55.430,51","R$ 21.312,43","R$ 76.817,09","R$ 153.560,03"
"533","32","56133","CLIENTE 1","41854274761","733067","20221227","5","83720.19","777","CDC PESSOA JURIDICA","17","CRÉDITO DIRETO AO CONSUMIDOR","798586","5","Original","0","20230925","88297.91","48666.68","87550.74","0","0","0","224515.33000000002","Aberta","Vencida",false,,"R$ 83.720,19","R$ 88.297,91","R$ 48.666,68","R$ 87.550,74","R$ 224.515,33"
"533","32","56133","CLIENTE 1","41854274761","733067","20221227","5","83720.19","777","CDC PESSOA JURIDICA","17","CRÉDITO DIRETO AO CONSUMIDOR","798586","6","Original","0","20231023","43609.6","15383.17","39056.15","0","0","0","98048.92","Aberta","Vencida",false,,"R$ 83.720,19","R$ 43.609,60","R$ 15.383,17","R$ 39.056,15","R$ 98.048,92"
"1150","25","81045","CLIENTE 2","953050644799","273134","20240804","5","49396.22","1708","CDC PESSOA JURIDICA","2","CRÉDITO DIRETO AO CONSUMIDOR","826965","2","Original","0","20230502","54815.71","69011.51","87297.2","0","0","0","211124.41999999998","Aberta","Vencida",false,,"R$ 49.396,22","R$ 54.815,71","R$ 69.011,51","R$ 87.297,20","R$ 211.124,42"
"1150","25","81045","CLIENTE 2","953050644799","273134","20240804","5","49396.22","1708","CDC PESSOA JURIDICA","2","CRÉDITO DIRETO AO CONSUMIDOR","826965","3","Original","0","20240624","11927.09","8993.54","55743.14","0","0","0","76663.77","Aberta","Vencida",false,,"R$ 49.396,22","R$ 11.927,09","R$ 8.993,54","R$ 55.743,14","R$ 76.663,77"
"1150","25","81045","CLIENTE 2","953050644799","273134","20240804","5","49396.22","1708","CDC PESSOA JURIDICA","2","CRÉDITO DIRETO AO CONSUMIDOR","826965","4","Original","0","20220706","27447.07","85413.37","19757.46","0","0","0","132617.9","Aberta","Vencida",false,,"R$ 49.396,22","R$ 27.447,07","R$ 85.413,37","R$ 19.757,46","R$ 132.617,90"
"1150","25","81045","CLIENTE 2","953050644799","273134","20240804","5","49396.22","1708","CDC PESSOA JURIDICA","2","CRÉDITO DIRETO AO CONSUMIDOR","826965","5","Original","0","20230917","68868.05","34423.42","16702.74","0","0","0","119994.21","Aberta","Vencida",false,,"R$ 49.396,22","R$ 68.868,05","R$ 34.423,42","R$ 16.702,74","R$ 119.994,21"
"1150","25","81045","CLIENTE 2","953050644799","273134","20240804","5","49396.22","1708","CDC PESSOA JURIDICA","2","CRÉDITO DIRETO AO CONSUMIDOR","826965","6","Original","0","20240714","93463.14","70230.19","77932.46","0","0","0","241625.79000000004","Aberta","Vencida",false,,"R$ 49.396,22","R$ 93.463,14","R$ 70.230,19","R$ 77.932,46","R$ 241.625,79"
"1536","19","22984","CLIENTE 3","448750507023","636046","20231013","3","45521.15","1704","CDC PESSOA JURIDICA","3","CRÉDITO DIRETO AO CONSUMIDOR","396978","2","Original","0","20221113","56846.65","55541.9","38328.24","0","0","0","150716.79","Aberta","Vencida",false,,"R$ 45.521,15","R$ 56.846,65","R$ 55.541,90","R$ 38.328,24","R$ 150.716,79"
"1536","19","22984","CLIENTE 3","448750507023","636046","20231013","3","45521.15","1704","CDC PESSOA JURIDICA","3","CRÉDITO DIRETO AO CONSUMIDOR","396978","3","Original","0","20240314","83115.55","32144","63088.13","0","0","0","178347.68","Aberta","Vencida",false,,"R$ 45.521,15","R$ 83.115,55","R$ 32.144,00","R$ 63.088,13","R$ 178.347,68"
"1536","19","22984","CLIENTE 3","448750507023","636046","20231013","3","45521.15","1704","CDC PESSOA JURIDICA","3","CRÉDITO DIRETO AO CONSUMIDOR","396978","4","Original","0","20230217","81565.13","68893.21","85232.52","0","0","0","235690.86000000004","Aberta","Vencida",false,,"R$ 45.521,15","R$ 81.565,13","R$ 68.893,21","R$ 85.232,52","R$ 235.690,86"
"458","44","91342","CLIENTE 4","352869205024","702186","20230509","3","87737.91","826","CDC PESSOA JURIDICA","7","CRÉDITO DIRETO AO CONSUMIDOR","726379","2","Original","0","20240917","87390.74","74254.13","29020.67","0","0","0","190665.53999999998","Aberta","Vencida",false,,"R$ 87.737,91","R$ 87.390,74","R$ 74.254,13","R$ 29.020,67","R$ 190.665,54"
"458","44","91342","CLIENTE 4","352869205024","702186","20230509","3","87737.91","826","CDC PESSOA JURIDICA","7","CRÉDITO DIRETO AO CONSUMIDOR","726379","3","Original","0","20241114","93005.63","8499.78","38610.6","0","0","0","140116.01","Aberta","Vencida",false,,"R$ 87.737,91","R$ 93.005,63","R$ 8.499,78","R$ 38.610,60","R$ 140.116,01"
"458","44","91342","CLIENTE 4","352869205024","702186","20230509","3","87737.91","826","CDC PESSOA JURIDICA","7","CRÉDITO DIRETO AO CONSUMIDOR","726379","4","Original","0","20241025","20672.31","81410.23","11767.55","0","0","0","113850.09","Aberta","Vencida",false,,"R$ 87.737,91","R$ 20.672,31","R$ 81.410,23","R$ 11.767,55","R$ 113.850,09"
"1542","31","54296","CLIENTE 5","100928909639","287837","20220920","7","49556.23","1412","CDC PESSOA JURIDICA","17","CRÉDITO DIRETO AO CONSUMIDOR","132554","2","Original","0","20220204","96790.3","57650.89","12174.66","0","0","0","166615.85","Aberta","Vencida",false,,"R$ 49.556,23","R$ 96.790,30","R$ 57.650,89","R$ 12.174,66","R$ 166.615,85"
"1542","31","54296","CLIENTE 5","100928909639","287837","20220920","7","49556.23","1412","CDC PESSOA JURIDICA","17","CRÉDITO DIRETO AO CONSUMIDOR","132554","3","Original","0","20220703","64563.78","13485.95","88080.69","0","0","0","166130.41999999998","Aberta","Vencida",false,,"R$ 49.556,23","R$ 64.563,78","R$ 13.485,95","R$ 88.080,69","R$ 166.130,42"
"1542","31","54296","CLIENTE 5","100928909639","287837","20220920","7","49556.23","1412","CDC PESSOA JURIDICA","17","CRÉDITO DIRETO AO CONSUMIDOR","132554","4","Original","0","20240323","87727.71","14437.2","90223.16","0","0","0","192388.07","Aberta","Vencida",false,,"R$ 49.556,23","R$ 87.727,71","R$ 14.437,20","R$ 90.223,16","R$ 192.388,07"
"1542","31","54296","CLIENTE 5","100928909639","287837","20220920","7","49556.23","1412","CDC PESSOA JURIDICA","17","CRÉDITO DIRETO AO CONSUMIDOR","132554","5","Original","0","20231216","19759.75","49119.06","61920.65","0","0","0","130799.45999999999","Aberta","Vencida",false,,"R$ 49.556,23","R$ 19.759,75","R$ 49.119,06","R$ 61.920,65","R$ 130.799,46"
"1542","31","54296","CLIENTE 5","100928909639","287837","20220920","7","49556.23","1412","CDC PESSOA JURIDICA","17","CRÉDITO DIRETO AO CONSUMIDOR","132554","6","Original","0","20230207","31472.96","90235.96","72897.24","0","0","0","194606.16000000003","Aberta","Vencida",false,,"R$ 49.556,23","R$ 31.472,96","R$ 90.235,96","R$ 72.897,24","R$ 194.606,16"
"1542","31","54296","CLIENTE 5","100928909639","287837","20220920","7","49556.23","1412","CDC PESSOA JURIDICA","17","CRÉDITO DIRETO AO CONSUMIDOR","132554","7","Original","0","20230717","30657.65","88970.62","48836.56","0","0","0","168464.83","Aberta","Vencida",false,,"R$ 49.556,23","R$ 30.657,65","R$ 88.970,62","R$ 48.836,56","R$ 168.464,83"
"1542","31","54296","CLIENTE 5","100928909639","287837","20220920","7","49556.23","1412","CDC PESSOA JURIDICA","17","CRÉDITO DIRETO AO CONSUMIDOR","132554","8","Original","0","20240602","32250.79","16638.38","53163.71","0","0","0","102052.88","Aberta","Vencida",false,,"R$ 49.556,23","R$ 32.250,79","R$ 16.638,38","R$ 53.163,71","R$ 102.052,88"
"350","6","31108","CLIENTE 6","394454624050","78905","20220223","8","38418.9","1691","CDC PESSOA JURIDICA","12","CRÉDITO DIRETO AO CONSUMIDOR","542681","2","Original","0","20241227","76961.47","20178.31","41262.41","0","0","0","138402.19","Aberta","Vencida",false,,"R$ 38.418,90","R$ 76.961,47","R$ 20.178,31","R$ 41.262,41","R$ 138.402,19"
"350","6","31108","CLIENTE 6","394454624050","78905","20220223","8","38418.9","1691","CDC PESSOA JURIDICA","12","CRÉDITO DIRETO AO CONSUMIDOR","542681","3","Original","0","20231206","52739.41","81948.39","8695.78","0","0","0","143383.58","Aberta","Vencida",false,,"R$ 38.418,90","R$ 52.739,41","R$ 81.948,39","R$ 8.695,78","R$ 143.383,58"
"350","6","31108","CLIENTE 6","394454624050","78905","20220223","8","38418.9","1691","CDC PESSOA JURIDICA","12","CRÉDITO DIRETO AO CONSUMIDOR","542681","4","Original","0","20221126","95772.33","7034.24","85972.06","0","0","0","188778.63","Aberta","Vencida",false,,"R$ 38.418,90","R$ 95.772,33","R$ 7.034,24","R$ 85.972,06","R$ 188.778,63"
"350","6","31108","CLIENTE 6","394454624050","78905","20220223","8","38418.9","1691","CDC PESSOA JURIDICA","12","CRÉDITO DIRETO AO CONSUMIDOR","542681","5","Original","0","20220325","84251.51","5410.75","77865.65","0","0","0","167527.90999999997","Aberta","Vencida",false,,"R$ 38.418,90","R$ 84.251,51","R$ 5.410,75","R$ 77.865,65","R$ 167.527,91"
"350","6","31108","CLIENTE 6","394454624050","78905","20220223","8","38418.9","1691","CDC PESSOA JURIDICA","12","CRÉDITO DIRETO AO CONSUMIDOR","542681","6","Original","0","20221217","57374.13","93619.08","998.23","0","0","0","151991.44","Aberta","Vencida",false,,"R$ 38.418,90","R$ 57.374,13","R$ 93.619,08","R$ 998,23","R$ 151.991,44"
"350","6","31108","CLIENTE 6","394454624050","78905","20220223","8","38418.9","1691","CDC PESSOA JURIDICA","12","CRÉDITO DIRETO AO CONSUMIDOR","542681","7","Original","0","20220623","76907.82","71322.18","77701.51","0","0","0","225931.51","Aberta","Vencida",false,,"R$ 38.418,90","R$ 76.907,82","R$ 71.322,18","R$ 77.701,51","R$ 225.931,51"
"350","6","31108","CLIENTE 6","394454624050","78905","20220223","8","38418.9","1691","CDC PESSOA JURIDICA","12","CRÉDITO DIRETO AO CONSUMIDOR","542681","8","Original","0","20230525","94401.55","89456.48","76449.46","0","0","0","260307.49","Aberta","Vencida",false,,"R$ 38.418,90","R$ 94.401,55","R$ 89.456,48","R$ 76.449,46","R$ 260.307,49"
"350","6","31108","CLIENTE 6","394454624050","78905","20220223","8","38418.9","1691","CDC PESSOA JURIDICA","12","CRÉDITO DIRETO AO CONSUMIDOR","542681","9","Original","0","20220512","29743.65","97976.72","56476.33","0","0","0","184196.7","Aberta","Vencida",false,,"R$ 38.418,90","R$ 29.743,65","R$ 97.976,72","R$ 56.476,33","R$ 184.196,70"
"1168","49","61378","CLIENTE 7","319123650392","443799","20230804","2","79551.55","1954","CDC PESSOA JURIDICA","1","CRÉDITO DIRETO AO CONSUMIDOR","314465","2","Original","0","20221022","48531.61","38627.17","49389.89","0","0","0","136548.66999999998","Aberta","Vencida",false,,"R$ 79.551,55","R$ 48.531,61","R$ 38.627,17","R$ 49.389,89","R$ 136.548,67"
